Programme,Sub-Programme,"Approved Esti-
mates FY 2022/23
(Kshs.)","Actual Expen-
diture Q1 FY
2022/23
(Kshs.)",Variance (Kshs.),"Absorption Rate
(%)",col_6,page_number,table_index
,,"Forestry Protec-
tion","1,000,000",-,"1,000,000",-,472,0
,,"Prosopis Manage-
ment","2,000,000",-,"2,000,000",-,472,0
,,A,B,C=A-B,D=B/A*100,,473,0
"Heritage
Development
Promotion &
Preservation",,"Heritage Devel-
opment Promo-
tion & Preserva-
tion","1,000,000",-,"1,000,000",-,473,0
,,"Arts & Creativity
Development","1,000,000",-,"1,000,000",-,473,0
"Environmental
Governance
Compliance
Conservation
Protection &
Management",,"Environmental
Governance &
Compliance","2,000,000","257,600","1,742,400",12.9,473,0
,,"Environmental
Protection &
Conservation","1,500,000","268,800","1,231,200",17.9,473,0
,,"Plastic Collection
Re-use Facility","920,287",-,"920,287",-,473,0
,,"Climate Change
& Adaptation","1,500,000",-,"1,500,000",-,473,0
"Mineral Resource
Mapping Capacity
Building &
Management",,"Mineral resource
Mapping","1,000,000",-,"1,000,000",-,473,0
,,"Management of
Mining & Quarry-
ing activities","2,000,000",-,"2,000,000",-,473,0
,,"Capacity building
in exploitation of
Mineral Resources","2,000,000",-,"2,000,000",-,473,0
,,"Extractives En-
gagement Bills &
Policies","3,000,000",-,"3,000,000",-,473,0
Petroleum,,Oil and Gas,"2,000,000",-,"2,000,000",-,473,0
,,"Establishment of
Extractive Sector
Regulations &
Strategies","2,700,000",-,"2,700,000",-,473,0
"Energy
Development
Programme",,"Renewable Ener-
gy Development","3,700,000",-,"3,700,000",-,473,0
"Turkana
Agriculture
Programme",,"Organising field
days show and
exhibitions","18,512,656",-,"18,512,656",-,473,0
"Turkana
Rehabilitation
Programme",,"Artisanal Mining
Equipment","9,000,000",-,"9,000,000",-,473,0
,,Sub Total,"367,210,956","2,353,800","364,857,156",0.6,473,0
,,A,B,C=A-B,D=B/A*100,,474,0
"Lands, Energy,
Housing and
Urban Areas
Management",,,,,,,474,0
"Adjudication,
registry and settle-
ment",,"Delineation &
adjudication of
community land","5,500,000",-,"5,500,000",-,474,0
Spatial Planning,,Spatial Planning,"83,800,000","654,000","83,146,000",0.8,474,0
"Formulation
of community
land policy and
regulations",,"Urban Centre
Management","64,500,000",-,"64,500,000",-,474,0
,,"Kakuma Ka-
lobeyei Munici-
pality","1,000,000",-,"1,000,000",-,474,0
"Compulsory land
acquisition for
public utilities",,"Land acquisition
for public utilities","16,600,000",-,"16,600,000",-,474,0
"General
Administration",,"Lands General
Administration,
Planning and Sup-
port Services","25,300,000","200,000","25,100,000",0.8,474,0
Land Governance,,Land Policies,"72,260,517","812,000","71,448,517",1.1,474,0
,,Sub Total,"268,960,517","1,666,000","267,294,517",0.6,474,0
"Turkana County
Assembly",,,,,,,474,0
Headquarters,,"General adminis-
tration Assembly","781,396,750","41,434,782","739,961,968",5.3,474,0
,,"Speakers Resi-
dents","52,930,354",-,"52,930,354",-,474,0
,,"Construction
of New County
Assembly","19,623,059",-,"19,623,059",-,474,0
,,"General Admin-
istration, Planning
and Support
Services","168,000,000",-,"168,000,000",-,474,0
,,Sub Total,"1,021,950,163","41,434,782","980,515,381",4.1,474,0
"Turkana County
Public Service
Board",,,,,,,474,0
