Programme,Sub- Programme,"Approved Esti-
mates (Kshs)","Actual Expen-
diture as of 31st
December 2023
(Kshs)",Variance (Kshs),"Absorption
rate (%)",page_number,table_index
,"Public facilities improvement
services",-,-,-,-,142,0
"Housing
and Urban
Development
Services","Environmental Management
Services","5,000,000",-,"5,000,000",-,142,0
,Land Use Management,-,-,-,-,142,0
,Sub total,"10,891,972",-,"10,891,972",-,142,0
,Grand total,"20,060,000",-,"20,060,000",-,142,0
Oyugis Municipal Board,,,,,,142,0
"Policy, Plan-
ning, General
Administration
and Support
Services",Policy and Planning Services,"3,175,250",-,"3,175,250",-,142,0
,"Personnel remuneration and
development services","3,803,640",-,"3,803,640",-,142,0
,"Administration and Support
Services","3,081,110",-,"3,081,110",-,142,0
"Public Works
and Infrastruc-
ture Improve-
ments Services",Sub total,"10,060,000",-,"10,060,000",-,142,0
,"Transport Infrastructure Im-
provements","5,000,000",-,"5,000,000",-,142,0
,"Public facilities improvement
services",-,-,-,-,142,0
"Housing
and Urban
Development
Services","Environmental Management
Services","5,000,000",-,"5,000,000",-,142,0
,Land Use Management,-,-,-,-,142,0
,Sub total,"10,000,000",-,"10,000,000",-,142,0
,Grand total,"20,060,000",-,"20,060,000",-,142,0
Grand Total,,"11,698,088,814","2,947,242,517","8,750,846,298",25.2,142,0
