Program,Sub Program,Approved Budget,Actual Payments,Variance,"Absorption
(%)",page_number,table_index
,"Data Centre /Collocation of
Systems & Change Management
Initiative for ICT","2,114,740",-,"2,114,740",-,343,0
,"Systems Research & Development
on ICT Standard, Guidelines and
Approaches","1,487,313",-,"1,487,313",-,343,0
,"Monitoring and Evaluation for ICT
Programming","1,051,046",-,"1,051,046",-,343,0
,"Formulation and Development of
TCPSB Boardroom ICT Infra-
structure","964,135",-,"964,135",-,343,0
"County Public Service
Exit",,"6,491,898","430,000","6,061,898",6.6,344,0
,"County Public Service Ministerial
& Department Audit","1,085,785",-,"1,085,785",-,344,0
,"Public Evaluation on County Public
Service Board Performance &Cus","1,660,162",-,"1,660,162",-,344,0
,"Human Resource Conference &
Symposium","1,766,569",-,"1,766,569",-,344,0
,Exit Meetings Per Department,"1,979,382","430,000","1,549,382",21.7,344,0
"County Public Service
Governance & Com-
pliance",,"3,758,601",-,"3,758,601",-,344,0
,Management of Dials,"1,542,894",-,"1,542,894",-,344,0
,"Establishment of Structures for
Stakeholder Engagement","1,140,780",-,"1,140,780",-,344,0
,Sensitization of County Employees,"1,074,927",-,"1,074,927",-,344,0
"Quality Management
System Programming",,"3,701,855",-,"3,701,855",-,344,0
,"Quality Management Systems
Development & Establishment","1,265,278",-,"1,265,278",-,344,0
,QMS Audit /Routine Inspection,"1,275,696",-,"1,275,696",-,344,0
,"Documentation/Record Manage-
ment For QMS","1,160,881",-,"1,160,881",-,344,0
,County Assembly,,,,-,344,0
Legislative Services,,"60,694,400",-,"60,694,400",-,344,0
,Legislative Services,"36,294,400",-,"36,294,400",-,344,0
,Office of Speaker,"24,400,000",-,"24,400,000",-,344,0
Oversight,,"100,134,957","15,468,581","84,666,376",15.4,344,0
,Committee Services,"97,290,957","15,268,581","82,022,376",15.7,344,0
,Audit and M&E,"2,844,000","200,000","2,644,000",7.0,344,0
"General Administra-
tion and Support
Services",,"865,950,124","87,971,633","777,978,491",10.2,344,0
,Finance and Shared Services,"833,248,124","87,971,633","745,276,491",10.6,344,0
,"Hansard Research and information
services","16,800,000",-,"16,800,000",-,344,0
,County Assembly Service Board.,"15,902,000",-,"15,902,000",-,344,0
,Infrust. Devt & Support Services,"110,000,000",-,"110,000,000",-,344,0
,"Public Service, Administration
and Support Services",,,,-,344,0
"General Administra-
tion and Support
Services",,"4,145,472,614","832,328,639","3,313,143,975",20.1,344,0
,"General Administration, Planning
and Support Services-Public
Service","4,099,753,111","827,725,932","3,272,027,179",20.2,344,0
,"General Administration, Planning
and Support Services-Administer","45,719,503","4,602,707","41,116,796",10.1,344,0
"Governance and Public
Participation",,"17,502,192","553,300","16,948,892",3.2,345,0
,Civic education Programme,"2,201,096","553,300","1,647,796",25.1,345,0
,"Public Participation and access to
information","8,500,000",-,"8,500,000",-,345,0
,County Dialogue Forum,"2,500,000",-,"2,500,000",-,345,0
,National & County Holidays,"2,701,096",-,"2,701,096",-,345,0
,Policies Design,"1,600,000",-,"1,600,000",-,345,0
Decentralized Services,,"79,875,885","1,875,000","78,000,885",2.3,345,0
,"Operationalization of Sub County
Administration Offices","12,000,000",-,"12,000,000",-,345,0
,"Operationalization of Ward Admin-
istration Offices","35,500,000","1,875,000","33,625,000",5.3,345,0
,"Operationalization of Village
Administration Offices","4,126,370",-,"4,126,370",-,345,0
,"Village Council Support Pro-
gramme","5,902,191",-,"5,902,191",-,345,0
,"Completion of Kibish Sub County
Office","22,347,324",-,"22,347,324",-,345,0
"Disaster Risk Manage-
ment",,"454,079,650","13,686,722","440,392,928",3.0,345,0
,Disaster Preparedness Programmes,"2,375,822",-,"2,375,822",-,345,0
