county,year,quarter,program,sub_program,approved_budget_kshs,actual_expenditure_kshs
kilifi,2019_20,02,Medical Services,Curative and rehabilitative,108269413.27,825564.0
kilifi,2019_20,02,Medical Services,"General Administration, Planning & Support Services",2235644788.44,1033862846.65
kilifi,2019_20,02,Medical Services,.Maternal and Child Health,35321228.95,1384355.0
kilifi,2019_20,02,Public Health,Health Promotion & Non combative prevention,355298457.36,124049805.0
kilifi,2019_20,02,Public Health,Sub total,355298457.36,124049805.0
kilifi,2019_20,02,Public Health,General Administration,82345935.0,13098419.85
kirinyaga,2019_20,02,"Curative and Rehabilita-
tive Services","Curative and Rehabilitative
Services",2533092065.0,874517099.0
kirinyaga,2019_20,02,Social Services,Social Services,10428469.0,4667881.0
kirinyaga,2019_20,02,Children Services,"Child Community Support
Services",5542000.0,1074251.0
kisii,2019_20,02,Health services,Medical services,4057930441.0,1485115092.0
kisii,2019_20,02,Health services,Public health,35950000.0,3121300.0
kisii,2019_20,02,Health services,Sub total,4093880441.0,1488236392.0
kisumu,2019_20,02,"Preventive and promotive
health services",Environmental health and sanitation,140234053.0,50214163.0
kisumu,2019_20,02,"Preventive and promotive
health services",Community health strategy,880000.0,140000.0
kisumu,2019_20,02,"Preventive and promotive
health services",Disease surveillance,3200000.0,883160.0
kisumu,2019_20,02,"Preventive and promotive
health services",Health promotion services,98005269.0,43124177.0
kisumu,2019_20,02,"Preventive and promotive
health services",Sub total,242319322.0,94361940.0
kisumu,2019_20,02,Health curative services,"Elimination of communicable and non
– communicable diseases",69864355.0,3943594.0
kisumu,2019_20,02,Health curative services,Reproductive health,350000.0,329900.0
kisumu,2019_20,02,Health curative services,Sub total,73364355.0,4273494.0
kisumu,2019_20,02,"County and Sub – county
hospital services","County and Sub – county hospital
services",239898439.0,10703992.0
kisumu,2019_20,02,"County and Sub – county
hospital services",Sub total,239898439.0,10703992.0
kitui,2019_20,02,Maternal and child health,Maternal and child health,175766976.0,18765815.0
kitui,2019_20,02,Preventive and promotive health services,"Preventive and promotive health ser-
vices",472522647.0,236348198.0
kitui,2019_20,02,Curative health services,Curative health services,2231651374.0,1121599292.0
kitui,2019_20,02,Curative health services,Sub total,3346625724.0,1774438311.0
kitui,2019_20,02,Social development and children services,Sub total,222849288.0,44355150.0
kwale,2019_20,02,Personnel Services,,12790824.0,9330535.0
kwale,2019_20,02,Health Services,,,
kwale,2019_20,02,Personnel Services,,619859853.0,126598075.0
kwale,2019_20,02,Public Health,,21875000.0,
kwale,2019_20,02,Personnel services,,13967446.0,11614494.0
kwale,2019_20,02,Personnel Services,,209396242.0,194347981.0
kwale,2019_20,02,Personnel Services,,19652847.0,14178757.0
kwale,2019_20,02,Personnel Services,,500000.0,
kwale,2019_20,02,Personnel services,,20728251.0,9577505.0
laikipia,2019_20,02,General Administration & Planning,"Emergency Referral and Reha-
bilitative Services",48672664.0,2067050.0
laikipia,2019_20,02,General Administration & Planning,"Community Health Strategy,
Advocacy & Surveillance",18413700.0,11461589.0
laikipia,2019_20,02,General Administration & Planning,Emergency Response Services,24645672.0,
laikipia,2019_20,02,"Curative & Rehabilitative Health
Programme",Strategic Health Interventions,2701874.0,
laikipia,2019_20,02,"Curative & Rehabilitative Health
Programme","Emergency Referral and Reha-
bilitative Services",56037483.0,
laikipia,2019_20,02,"Curative & Rehabilitative Health
Programme",Use of goods & Services,3403748.0,1669500.0
laikipia,2019_20,02,"Curative & Rehabilitative Health
Programme","Community Health Strategy,
Advocacy & Surveillance",12608746.0,2371098.0
laikipia,2019_20,02,Preventive Health Services,Strategic Health Interventions,3800000.0,1636200.0
laikipia,2019_20,02,Preventive Health Services,"Emergency Referral and Reha-
bilitative Services",940154.0,626820.0
laikipia,2019_20,02,Preventive Health Services,Use of goods & Services,30083881.0,17346276.0
laikipia,2019_20,02,Preventive Health Services,"Participatory Budgeting Sup-
port",750000.0,709200.0
lamu,2019_20,02,Medical Services,Curative & Rehabilitative Health Dept,141.98,1.96
lamu,2019_20,02,Medical Services,Preventive & Promotive Health Dept,57.72,5.3
lamu,2019_20,02,Medical Services,Sub total,914.33,178.75
lamu,2019_20,02,"Public Health Sanitation
& Environment",Sub total,86.27,13.2
machakos,2019_20,02,"public health and commu-
nity outreach","public health and community out-
reach",108557389.0,7792883.0
makueni,2019_20,02,"Health
Services",Programme 1: General administration & planning,,
makueni,2019_20,02,"Health
Services",Programme 2: Curative health care services,,
makueni,2019_20,02,"Health
Services",SP2. 1:Curative health care services,312333333.0,99949690.0
makueni,2019_20,02,"Health
Services",Programme 3; Preventive and promotive health care services,,
