county,year,quarter,program,sub_program,approved_budget_kshs,actual_expenditure_kshs
makueni,2019_20,02,"Health
Services",Total Expenditure of Vote,3388953364.0,1394219338.0
mandera,2019_20,02,Children Services,,148500000.0,118250000.0
mandera,2019_20,02,County Health Services,,1059478397.0,544671862.0
mandera,2019_20,02,Medical Services,,965350210.0,443502977.0
mandera,2019_20,02,Medical Services,Health care Infrastructure,478584458.0,115677229.0
mandera,2019_20,02,"Public health and sani-
tation",,439558271.0,64523631.0
mandera,2019_20,02,"Public health and sani-
tation",Health care Infrastructure,389820771.0,64523631.0
mandera,2019_20,02,"Public health and sani-
tation","Administration & Support Ser-
vices",49737500.0,
mandera,2019_20,02,Ambulance services,,95633248.0,39303825.0
mandera,2019_20,02,Ambulance services,"Administration & Support Ser-
vices",95633248.0,39303825.0
meru,2019_20,02,HEALTH SERVICE,,,
meru,2019_20,02,"Preventive and Promotive Health
Care Services",Preventive Services,25652122.0,
meru,2019_20,02,"Preventive and Promotive Health
Care Services",Promotive health care,,
meru,2019_20,02,"Preventive and Promotive Health
Care Services",Sub total,25652122.0,
meru,2019_20,02,Curative Health,Curative health care services,721075173.0,1141042255.0
meru,2019_20,02,Curative Health,Tertiary care,,
meru,2019_20,02,Curative Health,Sub total,,
meru,2019_20,02,"Disaster Management, Rescue
and Emergency","Disaster Management, Res-
cue and Emergency",18200000.0,6441250.0
migori,2019_20,02,"Preventive And Pro-
motive Health Ser-
vices",Community Health Services,44860680.0,
migori,2019_20,02,"Preventive And Pro-
motive Health Ser-
vices",Communicable Disease Control,1000000.0,
migori,2019_20,02,"Preventive And Pro-
motive Health Ser-
vices",Health Promotion,1500000.0,
migori,2019_20,02,"Preventive And Pro-
motive Health Ser-
vices",Sub total,71860680.0,1862100.0
migori,2019_20,02,"Curative , Rehabil-
itative and Referral
services","Pharmaceutical And Non –Pharmaceutical
Commodities",316638857.0,90116325.7
migori,2019_20,02,"Curative , Rehabil-
itative and Referral
services",Diagnostic Services,2500000.0,
migori,2019_20,02,"Curative , Rehabil-
itative and Referral
services",Sub total,319138857.0,90116325.7
migori,2019_20,02,"Child Care Support
Services","Infrastructure development and sanita-
tion improvement",82482176.0,383182.0
migori,2019_20,02,"Child Care Support
Services",Ecde Staffing,15810000.0,480700.0
migori,2019_20,02,"Child Care Support
Services",Sub total,98292176.0,863882.0
mombasa,2019_20,02,Health Services,Administration Unit,2551268459.0,1288394509.0
mombasa,2019_20,02,Health Services,Curative/Clinical Health Services,266500326.0,
mombasa,2019_20,02,Health Services,"Preventive and Promotive Services
Unit",205120131.0,
mombasa,2019_20,02,Health Services,Special Programs,22588394.0,
mombasa,2019_20,02,"Transport, Infrastructure &
Public Works","Safety, Risk Management and Rescue
Services",42250000.0,
nairobi,2019_20,02,Preventive & Promotive Health Services,"0401115310 HIV/
AIDS Prevention &
Control Unit",4440402.0,75000.0
nairobi,2019_20,02,Preventive & Promotive Health Services,"0401125310 TB
Control",2200000.0,
nairobi,2019_20,02,Preventive & Promotive Health Services,"0401135310 Malaria
Control & Other
Communicable
Diseases",1400000.0,
nairobi,2019_20,02,Preventive & Promotive Health Services,"0401145310 Re-
productive Health
& Maternal Health
(RMNCAH)",148661321.0,25083827.0
nairobi,2019_20,02,Preventive & Promotive Health Services,"0401155310 Envi-
ronmental / Public
Health",96300000.0,14334000.0
nairobi,2019_20,02,Curative care,"0402065310 sp.2.6
County Referral
Hospitals",732450000.0,35831723.0
nakuru,2019_20,02,County Health Services Administration,"Health infrastructure de-
velopment",56308823.0,4138962.0
nakuru,2019_20,02,County Health Services Administration,"Human resources for
health",3858828925.0,1395544124.0
nakuru,2019_20,02,County Health Services Administration Total,,3915137748.0,1399683086.0
nakuru,2019_20,02,Public Sector Total,,27976716.0,33844686.0
nakuru,2019_20,02,Public Sector Total,,376241282.0,127920389.0
nandi,2019_20,02,"Health Service Delivery
Administration Services",Construction of building,415563515.0,17625434.0
nandi,2019_20,02,"Health Service Delivery
Administration Services",Sub total,1632447836.0,592772441.0
nandi,2019_20,02,"Preventive & Promotive
Health Services",Community Health Services,553721800.0,264544759.0
nandi,2019_20,02,"Preventive & Promotive
Health Services",Sub total,553721800.0,264544759.0
nandi,2019_20,02,Curative Health Services,"Curative Health Management
Services",411942186.0,167414745.0
nandi,2019_20,02,Curative Health Services,Sub total,411942186.0,167414745.0
narok,2019_20,02,"Social Development
and Children Services",,103410844.0,89100000.0
narok,2019_20,02,"Preventive &Promo-
tive Health Services",,,182200000.0
narok,2019_20,02,"Curative Health Ser-
vices",,187053885.0,250500437.0
nyamira,2019_20,02,DEPARTMENT: HEALTH SERVICES,,,
nyamira,2019_20,02,"Preventive and Pro-
motive Health Ser-
vices",Health Promotion,407522327.0,185505089.0
nyamira,2019_20,02,"Preventive and Pro-
motive Health Ser-
vices",Communicable Disease Control,108831076.0,17095070.0
nyamira,2019_20,02,"Curative Health Ser-
vices",Medical services,1046188766.0,546251992.0
nyamira,2019_20,02,"Curative Health Ser-
vices",,1813703586.0,808312946.0
nyandarua,2019_20,02,"General administration, planning and
support services","Emergency Response & Prepar-
edness",5000000.0,874905.0
samburu,2019_20,02,"Medical Services, Public Health & Sanitation",,,
samburu,2019_20,02,"0401004210 P1
Preventive and
Promotive Health
Services","0401044210 SP2 Environmental &
Health Promotion",74608471.0,36268307.0
samburu,2019_20,02,"0401004210 P1
Preventive and
Promotive Health
Services","0401064210 SP4 Non-communica-
ble Disease Prevention & Control",36870936.0,11585329.0
samburu,2019_20,02,"0401004210 P1
Preventive and
Promotive Health
Services","0401074210 SP5 Reproductive,
Maternal, Neonatal, child and Ad-
olescent Health",61112750.0,30493180.0
siaya,2019_20,02,COUNTY HEALTH SERVICES,,,
siaya,2019_20,02,Curative and Rehabilitative Health Care Services,"Curative and Re-
habilitative Health
Care Services",845207036.0,263732006.0
siaya,2019_20,02,Curative and Rehabilitative Health Care Services,Sub total,845207036.0,263732006.0
siaya,2019_20,02,Preventive and Promotive Health Services,"Preventive and Pro-
motive Health Ser-
vices",173199992.0,88350360.0
siaya,2019_20,02,Preventive and Promotive Health Services,Sub total,173199992.0,88350360.0
siaya,2019_20,02,Preventive and Promotive Health Services,,,
trans,2019_20,02,"Administrative and support
services","Preventive & Promotive
Health Services",59600295.0,105800.0
trans,2019_20,02,"Administrative and support
services","Preventive & Promotive
Health Services",1616150453.0,744083810.0
uasin,2019_20,02,Procurement and Supplies Section,,8658736.0,3895314.0
uasin,2019_20,02,Procurement and Supplies Section,,,
uasin,2019_20,02,"Fire and Emergency Respond Depart-
ment",,5930048.0,493100.0
uasin,2019_20,02,"Fire and Emergency Respond Depart-
ment",,,
uasin,2019_20,02,Administration- Health Services,Curative Health Services,52758407.0,5262920.0
uasin,2019_20,02,Administration- Health Services,Health Infrastructure,408113176.0,17760768.0
uasin,2019_20,02,Administration- Health Services,"Administration And Support
Services",1694496825.0,783711668.0
uasin,2019_20,02,Administration- Health Services,,2155368408.0,806735356.0
uasin,2019_20,02,Administration- Health Services,,,
uasin,2019_20,02,Clinical Services,Curative Health Services,60000000.0,
uasin,2019_20,02,Clinical Services,Clinical Services,50082080.0,
uasin,2019_20,02,Clinical Services,"Administration And Support
Services",210115000.0,61722589.0
uasin,2019_20,02,Clinical Services,,320197080.0,61722589.0
uasin,2019_20,02,Clinical Services,,,
uasin,2019_20,02,Prevention and Health Promotion,"Administration And Support
Services",7978111.0,303180.0
uasin,2019_20,02,Prevention and Health Promotion,,7978111.0,303180.0
uasin,2019_20,02,Prevention and Health Promotion,,,
vihiga,2019_20,02,"Administration, Planning, and
Support Service",Healthcare Financing,56205211.0,3976322.0
vihiga,2019_20,02,"Promotive and Preventive
Healthcare Services","Promotive and Preventive Healthcare Ser-
vices",27565284.0,730656.0
vihiga,2019_20,02,"Promotive and Preventive
Healthcare Services",Public Health Services,16700000.0,192256.0
vihiga,2019_20,02,"Promotive and Preventive
Healthcare Services",Community Health Strategy,6240000.0,469200.0
vihiga,2019_20,02,"Promotive and Preventive
Healthcare Services",Health Promotion,3795284.0,44400.0
vihiga,2019_20,02,"Promotive and Preventive
Healthcare Services",Reproductive Healthcare,340000.0,
vihiga,2019_20,02,"Promotive and Preventive
Healthcare Services",Disease Surveillance and Emergency,490000.0,24800.0
vihiga,2019_20,02,"Curative And Rehabilitative
Health Services","Curative And Rehabilitative Health Ser-
vices",280394894.0,665800.0
vihiga,2019_20,02,"Curative And Rehabilitative
Health Services",Medical services,280014894.0,665800.0
vihiga,2019_20,02,"Curative And Rehabilitative
Health Services",County referral services,240000.0,
vihiga,2019_20,02,"Curative And Rehabilitative
Health Services",Drugs and Other Medical Supplies,140000.0,
vihiga,2019_20,02,"Child and Maternal Health
Care",Child and Maternal Health Care,46188276.0,
vihiga,2019_20,02,"Child and Maternal Health
Care",Antenatal and Post Natal healthcare,1800000.0,
vihiga,2019_20,02,"Child and Maternal Health
Care",Antenatal and Post Natal Healthcare,1440000.0,
vihiga,2019_20,02,"Child and Maternal Health
Care",Maternity Services,41368276.0,
vihiga,2019_20,02,"Child and Maternal Health
Care","New-born, Child and Adolescent Health",1140000.0,
vihiga,2019_20,02,"Child and Maternal Health
Care",Nutrition Services,440000.0,
vihiga,2019_20,02,"Administration, Planning, and
Support Service",Elderly Fund,700000.0,75600.0
wajir,2019_20,02,"PUBLIC HEALTH , MEDICAL SER-
VICE AND SANITATION",,,
wajir,2019_20,02,"Curative, Rehabilitative and Referral Ser-
vices","Curative, Rehabilitative and
Referral Services",258110000.0,57104896.0
baringo,2019_20,03,Health /Preventive services,"General Administration, Planning & Support
Services",,28606170.0
baringo,2019_20,03,Health /Preventive services,Support Service,,
baringo,2019_20,03,Health /Preventive services,Sub total,,28606170.0
baringo,2019_20,03,"Curative and Rehabilitative
Services","General administration, planning & support
services",40164034.0,
baringo,2019_20,03,"Curative and Rehabilitative
Services",Support Service,131914894.0,
baringo,2019_20,03,"Curative and Rehabilitative
Services",Support to County Hospitals (FIF),80074047.0,76283435.0
baringo,2019_20,03,"Curative and Rehabilitative
Services",Sub total,252152975.0,76283435.0
baringo,2019_20,03,"Preventive and Promotive
Health Services",Infrastructure Development,46400000.0,3224867.0
baringo,2019_20,03,"Preventive and Promotive
Health Services",Primary Health Care,28200000.0,6434620.0
baringo,2019_20,03,"Preventive and Promotive
Health Services",Sub total,739607098.0,78955708.0
bomet,2019_20,03,"PROGRAMME 2 Gender,
Children Services and
Social Protection",,,
bomet,2019_20,03,"PROGRAMME 2 Gender,
Children Services and
Social Protection","SP 2.2 Social protection and children
services",12300000.0,9569440.0
bomet,2019_20,03,P.3,"SP 2.2 Social Protection and Children
Services",2000000.0,
bomet,2019_20,03,"MEDICAL SERVICES
AND PUBLIC HEALTH",,,
bomet,2019_20,03,Programmes 4,Transformative Health Care systems,87100000.0,30790681.0
bomet,2019_20,03,Programmes 4,Cash Transfers to Health Facilities.,58853899.0,58837980.0
bomet,2019_20,03,Programmes 4,"Specialized Materials and Supplies
-(Renal, CT-SCAN, Ophthalmic, On-
cology, HDU, theatre consumables)",12000000.0,
bomet,2019_20,03,Programmes 4,"Dressings and Other Non- Pharmaceu-
tical Medical Items -(gloves, linen, etc)",10000000.0,4687450.0
bomet,2019_20,03,Programmes 4,Hire of Transport - ambulance service,24000000.0,22660084.0
bomet,2019_20,03,Programmes 4,"Laboratory Materials, Supplies and
Small Equipment",18620000.0,6066640.0
bomet,2019_20,03,Programmes 4,"Community and health facility based
interventions",60329352.0,
bomet,2019_20,03,Programmes 4,"Communicable disease prevention and
Control",4450000.0,
bomet,2019_20,03,Programmes 4,Community maternal and child health,8981552.0,
bomet,2019_20,03,P5. DEVELOPMENT,Leasing of medical equipment,131914894.0,
bomet,2019_20,03,P5. DEVELOPMENT,Purchase of ambulances,20000000.0,
bomet,2019_20,03,"P4. Livestock, Fisheries &
Veterinary Services",Veterinarian Supplies and Materials,4000000.0,525000.0
bomet,2019_20,03,Development Expenditure,,,
bungoma,2019_20,03,"Preventive and Promotive Health
Services","Preventive and Promotive
Health Services",332889500.0,105238923.0
bungoma,2019_20,03,"Curative and Rehabilitative Health
Services","Curative and Rehabilitative
Health Services",315001345.0,
bungoma,2019_20,03,"Reproductive, Maternal, New
Born and Child Health","Reproductive, Maternal, New
Born and Child Health",190613112.0,
bungoma,2019_20,03,Public Health Department,Public health Department,8008550.0,
elgeyo,2019_20,03,Department of Health Services,,,
elgeyo,2019_20,03,Preventive and Promotive health,,55410481.0,
elgeyo,2019_20,03,Preventive and Promotive health,"Community and Environmental
Health",47210481.0,
elgeyo,2019_20,03,Preventive and Promotive health,Disease Prevention & Control,,
elgeyo,2019_20,03,Curative and Rehabilitative Health,,849602746.0,
elgeyo,2019_20,03,Curative and Rehabilitative Health,Commodity management,95257103.0,
elgeyo,2019_20,03,Curative and Rehabilitative Health,County Hospitals,390431202.0,
elgeyo,2019_20,03,Curative and Rehabilitative Health,Primary Care Units,352914441.0,
elgeyo,2019_20,03,Curative and Rehabilitative Health,Emergency Medical Services,11000000.0,
embu,2019_20,03,"Health Promotion & Disease
Control",,453511964.0,313443166.0
embu,2019_20,03,"Health Promotion & Disease
Control",,53386955.0,38840665.0
garissa,2019_20,03,HEALTH,"Curative and Emergency Services Depart-
ment",,
garissa,2019_20,03,HEALTH,Curative Services,,
garissa,2019_20,03,HEALTH,Preventive and Promotive Health,711013649.0,117348176.0
garissa,2019_20,03,HEALTH,Preventive and Promotive Services,22718750.0,8600783.0
garissa,2019_20,03,HEALTH,Curative Services,497414894.0,97792400.0
garissa,2019_20,03,HEALTH,Preventive and Promotive Services,49638369.0,38247239.0
garissa,2019_20,03,HEALTH,Curative Services,68320000.0,0.0
homa,2019_20,03,Department of Health Services,,,
homa,2019_20,03,"Preventive and promotive health
services",Community health services,77400000.0,31100000.0
homa,2019_20,03,"Preventive and promotive health
services",Disease control services,47500000.0,17579017.0
homa,2019_20,03,"Preventive and promotive health
services",Sub total,124900000.0,48679017.0
