Program,Sub Program,Description,Approved Budget,Actual Payments,Variance,"Absorption
(%)",page_number,table_index
,707054110,Consultancy Services,"17,451,643","1,602,550","15,849,093",9.2,352,0
,707064110,"Financial Reporting/Re-
search and Development","10,067,109","1,288,000","8,779,109",12.8,352,0
,707074110,"Modern Fencing,Gate
and Parking Yards for
County Treasury Office","100,000,000",-,"100,000,000",-,352,0
,707084110,"Management of County
Assets",-,-,-,-,352,0
708003000,,,"21,551,643","549,140","21,002,503",2.5,352,0
,708014110,"Assurance and Insurance
of Govt. Assets","5,300,000","345,140","4,954,860",6.5,352,0
,708024110,"Liability and Debt Man-
agement","4,251,643",-,"4,251,643",-,352,0
,708034110,"Turkana SACCO Seed
Capital","12,000,000","204,000","11,796,000",1.7,352,0
709003000,,,"146,648,848","2,205,740","144,443,108",1.5,352,0
,709014110,"Economic Policy formu-
lation and Dissemination","14,283,060","787,000","13,496,060",5.5,352,0
,709024110,"CIDP review and Dis-
semination","4,294,503",-,"4,294,503",-,352,0
,709034110,"Budget preparation and
Dissemination","30,000,000",-,"30,000,000",-,352,0
,709054110,"County Budget and Eco-
nomic Forums","71,500,000",-,"71,500,000",-,352,0
,709064110,"Public Participation and
Access to Information","10,654,930","272,900","10,382,030",2.6,352,0
,709074110,Waste Management,"4,163,068","207,000","3,956,068",5.0,352,0
,709094110,Research & Statistics,"7,473,287","200,000","7,273,287",2.7,352,0
,709104110,Sector Plans Devt,"4,280,000","738,840","3,541,160",17.3,352,0
710003000,,,"5,617,234","747,698","4,869,536",13.3,352,0
,710014110,Donor scan/Mapping,"2,114,740","30,260","2,084,480",1.4,352,0
,710024110,"Establishment of devel-
opment committees","1,487,313","367,438","1,119,875",24.7,352,0
,710034110,"Training of the develop-
ment committees","1,051,046","350,000","701,046",33.3,352,0
,710044110,"Formulation and Devel-
opment of TCPSB Board-
room ICT Infrastructure","964,135",-,"964,135",-,352,0
711003000,,,"7,590,103","1,827,800","5,762,303",24.1,352,0
,711014110,"Soft wares( E-ProMIS,
GIS e.t.c)","2,501,096","850,000","1,651,096",34.0,352,0
,711024110,"Field visits, data collec-
tion and Reporting","1,700,000","150,000","1,550,000",8.8,352,0
,711034110,"Training and Knowledge
management","1,675,822","695,800","980,022",41.5,352,0
,711044110,"Devolved Monitoring
and Evaluation Commit-
tees","1,713,185","132,000","1,581,185",7.7,352,0
712003000,,,"44,957,122","9,790,166","35,166,956",21.8,352,0
,712014110,"Construction of Citizen
Resource Centre","5,000,000","653,000","4,347,000",13.1,353,0
,712024110,Web site Development,"13,703,287","828,280","12,875,007",6.0,353,0
,712034110,"Social Budgeting and
Generation of SIR Re-
ports","3,500,000",-,"3,500,000",-,353,0
,712044110,"Intergovernmental Rela-
tion","18,903,287","7,589,846","11,313,441",40.2,353,0
,712054110,"Strategy Development,
Review, Support and Op-
erationalization","3,850,548","719,040","3,131,508",18.7,353,0
713003000,,,"14,961,366","990,200","13,971,166",6.6,353,0
,713014110,"Soft wares, databases and
tools","14,961,366","990,200","13,971,166",6.6,353,0
714003000,,,"16,493,389","2,304,720","14,188,670",14.0,353,0
,714014110,Service Charter,"3,100,000","693,600","2,406,400",22.4,353,0
,714024110,"Development of County
Filing Systems","9,179,109","776,160","8,402,950",8.5,353,0
,714034110,"Procedure Manual and
Training","4,214,280","834,960","3,379,320",19.8,353,0
715003000,,,"38,000,000","2,565,110","35,434,890",6.8,353,0
,715014110,"County Internship Pro-
gramme","38,000,000","2,565,110","35,434,890",6.8,353,0
716003000,,,"20,000,000",-,"20,000,000",-,353,0
,716044110,"Construction of Deputy
Governor Residence","20,000,000",-,"20,000,000",-,353,0
717003000,,,"79,875,885","7,441,421","72,434,464",9.3,353,0
,717014110,"Operationalization of
Decentralized Units","12,000,000","1,171,121","10,828,879",9.8,353,0
,717024110,"Decentralized County
Policy","35,500,000","6,270,300","29,229,700",17.7,353,0
,717034110,"Coordinated develop-
ment","4,126,370",-,"4,126,370",-,353,0
,717044110,"Policy sensitization and
dissemination","5,902,191",-,"5,902,191",-,353,0
,717084110,"Completion of Kibish
Sub County Office","22,347,324",-,"22,347,324",-,353,0
718003000,,,"6,491,898","471,030","6,020,868",7.3,353,0
,718014110,"Mainstream Public Sec-
tor Integrity programme
& Accountability","1,085,785",-,"1,085,785",-,353,0
,718024110,"Public Evaluation on
County Public Service
Board Performance &Cus","1,660,162","202,000","1,458,162",12.2,353,0
,718034110,"Human Resource Con-
ference & Symposium","1,766,569","74,080","1,692,489",4.2,353,0
,718044110,"Exit Meetings Per De-
partment","1,979,382","194,950","1,784,432",9.8,353,0
719003000,,,"3,758,601","29,750","3,728,851",0.8,353,0
,719014110,"Turkana County Drought
and Disaster Contingen-
cy Fund (CDDCF)","1,542,894",-,"1,542,894",-,353,0
