Programme,Sub- Programme,"Approved
Estimates (Kshs)","Actual
Expenditure
(Kshs)",Variance (Kshs),"Absorption
rate (%)",page_number,table_index,col_6
"Blue Economy and Fisheries
Resources Development
Services","Capture Fisheries and
Development Services","45,759,422","36,278,100","9,481,322",79.3,136,0,
,"Aquaculture Development
Services","5,000,000","3,260,000","1,740,000",65.2,136,0,
,"Blue Economy Development
Services","10,000,000","6,530,200","3,469,800",65.3,136,0,
,Subtotal,"60,759,422","46,068,300","14,691,122",75.8,136,0,
"Mineral resources
development and marketing
services",Artisanal Mining Services,"4,000,000",-,"4,000,000",-,136,0,
,Mineral Prospecting Services,-,-,-,-,136,0,
,Subtotal,"4,000,000",-,"4,000,000",-,136,0,
"ICT and Digital Economy
Development Services","ICT Infrastructure Development
Services","811,224",-,"811,224",-,136,0,
,"Digital Literacy and Skill
Development Services","3,000,000","2,000,000","1,000,000",66.7,136,0,
,Subtotal,"3,811,224","2,000,000","1,811,224",52.5,136,0,
"General Administration,
Planning and Support
Services",Policy Development Services,"4,335,000","3,000,000","1,335,000",69.2,136,0,
,"Personnel Remuneration and
Welfare Services","76,286,892","70,141,161","6,145,731",91.9,136,0,
,Administrative Support Services,"12,665,000","7,854,527","4,810,473",62.0,136,0,
,Subtotal,"93,286,892","80,995,688","12,291,204",86.8,136,0,
,Total,"161,857,538","129,063,988","32,793,550",79.7,136,0,
"Department of Education, Human Capital Development and Vocational Training",,,,,,137,0,
"General Administration and
Quality Assurance Service",General administration Services,"898,219,791","650,840,270","247,379,521",72.5,137,0,
,Quality Assurance Services,"25,081,868","7,364,058","17,717,810",29.4,137,0,
,Subtotal,"923,301,659","658,204,328","265,097,331",71.3,137,0,
"Early Years Education
(EYE) Services",EYE Services,"221,328,150","199,708,139","21,620,011",90.2,137,0,
,Subtotal,"221,328,150","199,708,139","21,620,011",90.2,137,0,
"Education, Human
Capital Development
and Vocational Training
Services",Education Services,"230,000,000","230,000,000",-,100.0,137,0,
,"Human Capital Development
Services",-,-,-,-,137,0,
,Vocational Training Services,"45,590,000","41,825,720","3,764,280",91.7,137,0,
,Subtotal,"275,590,000","271,825,720","3,764,280",98.6,137,0,
,Total,"1,420,219,809","1,129,738,187","290,481,622",79.5,137,0,
Department of Public Health and Medical Services,,,,,,137,0,
"Policy planning and
administrative support
service","Policy, Planning and Monitoring
Services","10,080,250","4,674,892","5,405,358",46.4,137,0,
,Administrative Support Services,"2,120,139,727","1,841,305,905","278,833,822",86.8,137,0,
,Subtotal,"2,130,219,977","1,845,980,797","284,239,180",86.7,137,0,
"Preventive and promotive
health services",Community health services,"148,680,000","116,366,299","32,313,701",78.3,137,0,
,Disease control services,"9,600,000","9,600,000",-,100.0,137,0,
,"infrastructure improvement
services","59,500,000","37,300,081","22,199,919",62.7,137,0,
,Subtotal,"217,780,000","163,266,380","54,513,620",75.0,137,0,
"Curative and rehabilitative
health services",Routine medical health services,"259,901,523","214,523,946","45,377,577",82.5,137,0,
,"Medical emergency response
services","32,771,360","25,411,401","7,359,959",77.5,137,0,
,"Facility infrastructure
improvement services","116,705,663","112,059,183","4,646,480",96.0,137,0,
,Subtotal,"409,378,546","351,994,530","57,384,016",86.0,137,0,
"Research and development
service","Research and surveillance
services","1,500,000",-,"1,500,000",-,137,0,
,Capacity development services,"1,100,000",-,"1,100,000",-,137,0,
,Subtotal,"2,600,000",-,"2,600,000",-,137,0,
,Total,"2,759,978,523","2,361,241,707","398,736,816",85.6,137,0,
"Department of Lands, Housing, Urban Development and Physical Planning",,,,,,137,0,
"General Administration
Services","General administrative support
services","42,308,719","41,825,109","483,610",98.9,137,0,
,"Operation and Maintenance
Services","6,426,805","5,844,968","581,837",90.9,137,0,
,"General Office Infrastructure
Development Services","757,818",-,"757,818",-,137,0,
,Subtotal,"49,493,342","47,670,077","1,823,265",96.3,137,0,
"Lands and Physical
Planning Services","County Development Planning
Services","3,485,000","2,802,357","682,643",80.4,137,0,
,"Land Valuation and Registration
Support Services","7,180,126","6,350,000","830,126",88.4,137,0,
,"County Land Acquisition and
Management Services","6,000,000","6,000,000",-,100.0,137,0,
,Subtotal,"16,665,126","15,152,357","1,512,769",90.9,137,0,
"Housing and Urban
Development Services","Housing Infrastructure
Development Services","1,597,990","1,597,990",-,100.0,137,0,
,Settlements Upgrading Services,"466,565,356","465,300,081","1,265,275",99.7,137,0,
,"Urban Areas Establishment
Services",-,-,-,-,137,0,
,Subtotal,"468,163,346","466,898,071","1,265,275",99.7,137,0,
,Total,"534,321,814","529,720,505","4,601,309",99.1,138,0,
"Department of Trade, Industry, Tourism, Cooperative Development and Marketing",,,,,,138,0,
"Policy, Planning and
Administrative services","Remuneration and welfare
support services","142,017,292","116,900,000","25,117,292",82.3,138,0,
,"Policy and plans development
services","6,750,000","2,074,500","4,675,500",30.7,138,0,
,Administrative Support Services,"11,492,000","5,974,861","5,517,139",52.0,138,0,
,Subtotal,"160,259,292","124,949,361","35,309,931",78.0,138,0,
"Trade, Cooperative
and Entrepreneurship
Development Services","Enterprise development and
promotion services","5,340,500","3,412,250","1,928,250",63.9,138,0,
,Cooperative development services,"50,000,000","1,875,500","48,124,500",3.8,138,0,
,"Trade infrastructure and
development services","90,000,000","84,115,242","5,884,758",93.5,138,0,
,Subtotal,"145,340,500","89,402,992","55,937,508",61.5,138,0,
"Tourism, Industrial and
Investment Promotion
Services","Value Chain Development
Services","21,000,000","4,722,750","16,277,250",22.5,138,0,
,"Tourism promotion and
marketing","20,975,070","3,607,999","17,367,071",17.2,138,0,
,"Tourism infrastructure
development services",-,-,-,-,138,0,
,Industrial Park Development,"286,404,652","162,559,777","123,844,875",56.8,138,0,
,"Investment promotion and
facilitation","12,500,000","7,850,600","4,649,400",62.8,138,0,
